App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Sentiment_Polarity,Size_MB
ABCmouse.com,FAMILY,4.3,50887,91M,"5,000,000+",Free,0.0,Everyone,Education;Education,"July 3, 2018",7.2.0,4.4 and up,0.18250385802469135,91.0
GoodRx Drug Prices and Coupons,MEDICAL,4.8,59158,11M,"1,000,000+",Free,0.0,Everyone,Medical,"July 26, 2018",5.4.8,4.1 and up,0.25247104247104246,11.0
FollowMyHealth®,MEDICAL,4.6,73118,37M,"1,000,000+",Free,0.0,Everyone,Medical,"May 10, 2018",3.3,4.4 and up,0.18942767109847486,37.0
Blood Pressure,MEDICAL,4.2,33033,7.4M,"5,000,000+",Free,0.0,Everyone,Medical,"July 24, 2018",3.27.3,4.1 and up,0.44494301994301994,7.4
BioLife Plasma Services,MEDICAL,3.5,250,23M,"100,000+",Free,0.0,Everyone,Medical,"July 9, 2018",1.2.0,4.4 and up,0.15480616605616607,23.0
Anthem Anywhere,MEDICAL,2.7,2657,24M,"500,000+",Free,0.0,Everyone,Medical,"July 27, 2018",8.0.226,4.4 and up,-0.08797731435231436,24.0
Blood Donor,MEDICAL,4.2,4476,20M,"500,000+",Free,0.0,Everyone,Medical,"July 31, 2018",1.6.2,4.1 and up,0.20522144852501994,20.0
1800 Contacts - Lens Store,MEDICAL,4.7,23160,26M,"1,000,000+",Free,0.0,Everyone,Medical,"July 27, 2018",7.4.1,5.0 and up,0.3181447736291486,26.0
Blood Pressure Log - MyDiary,MEDICAL,4.7,8348,2.6M,"500,000+",Free,0.0,Everyone,Medical,"April 13, 2018",1.4.6,4.0 and up,0.32505491150053645,2.6
CVS Caremark,MEDICAL,3.5,3707,10M,"500,000+",Free,0.0,Everyone,Medical,"July 28, 2018",4.36,4.4 and up,0.1919080225330225,10.0
Ada - Your Health Guide,MEDICAL,4.7,87418,14M,"1,000,000+",Free,0.0,Everyone,Medical,"July 16, 2018",2.25.0,4.4 and up,0.3032562929106828,14.0
All Mental disorders,MEDICAL,4.5,453,11M,"100,000+",Free,0.0,Everyone,Medical,"July 7, 2017",1.1,4.0.3 and up,0.1986024636532449,11.0
HealtheLife,MEDICAL,3.6,190,7.7M,"100,000+",Free,0.0,Everyone,Medical,"January 2, 2018",2.4.0,4.4 and up,0.06321230158730158,7.7
Anatomy Learning - 3D Atlas,MEDICAL,4.5,72167,16M,"1,000,000+",Free,0.0,Everyone,Medical,"July 18, 2018",2.0,4.1 and up,0.22653244999599165,16.0
Baritastic - Bariatric Tracker,MEDICAL,4.7,4318,12M,"100,000+",Free,0.0,Everyone,Medical,"July 26, 2018",1.3.185,4.1 and up,0.41827673686267436,12.0
Banfield Pet Health Tracker,MEDICAL,4.2,1747,5.9M,"100,000+",Free,0.0,Everyone,Medical,"October 17, 2016",1.2.2,4.0 and up,0.08254051373973248,5.9
Davis's Drug Guide for Nurses,MEDICAL,4.5,572,44M,"50,000+",Free,0.0,Everyone,Medical,"July 13, 2018",4.3.2.315,4.4 and up,0.3148148148148148,44.0
HESI A2 Pocket Prep,MEDICAL,4.3,2108,28M,"50,000+",Free,0.0,Everyone,Medical,"May 2, 2018",4.5.1,4.4 and up,0.37914682539682537,28.0
Davis's Drug Guide,MEDICAL,3.9,272,6.4M,"50,000+",Free,0.0,Everyone,Medical,"December 11, 2017",2.7.36,4.1 and up,-0.10000000000000002,6.4
Anthem BC Anywhere,MEDICAL,2.6,496,24M,"100,000+",Free,0.0,Everyone,Medical,"July 27, 2018",8.0.226,4.4 and up,-0.12323348694316437,24.0
Ada - Your Health Guide,MEDICAL,4.7,87418,14M,"1,000,000+",Free,0.0,Everyone,Medical,"July 16, 2018",2.25.0,4.4 and up,0.3032562929106828,14.0
All Mental disorders,MEDICAL,4.5,453,11M,"100,000+",Free,0.0,Everyone,Medical,"July 7, 2017",1.1,4.0.3 and up,0.1986024636532449,11.0
High Blood Pressure Symptoms,MEDICAL,4.0,531,2.3M,"100,000+",Free,0.0,Everyone,Medical,"January 18, 2015",1.0,3.0 and up,0.4195335960960961,2.3
Blood Pressure(BP) Diary,MEDICAL,3.7,3596,8.4M,"1,000,000+",Free,0.0,Everyone,Medical,"July 18, 2018",4.0.9,4.0.3 and up,0.08768325424575425,8.4
Anthem Anywhere,MEDICAL,2.7,2657,24M,"500,000+",Free,0.0,Everyone,Medical,"July 27, 2018",8.0.226,4.4 and up,-0.08797731435231436,24.0
Airway Ex - Intubate. Anesthetize. Train.,MEDICAL,4.3,123,86M,"10,000+",Free,0.0,Everyone,Medical,"June 1, 2018",0.6.88,5.0 and up,0.22094190098096347,86.0
BELONG Beating Cancer Together,MEDICAL,4.7,623,20M,"50,000+",Free,0.0,Teen,Medical,"July 29, 2018",4.0.5,4.3 and up,0.35058287290195184,20.0
ConnectLine,MEDICAL,3.1,253,4.2M,"50,000+",Free,0.0,Everyone,Medical,"September 12, 2016",1.3.4,2.3.3 and up,0.13801162883082524,4.2
Banfield Pet Health Tracker,MEDICAL,4.2,1747,5.9M,"100,000+",Free,0.0,Everyone,Medical,"October 17, 2016",1.2.2,4.0 and up,0.08254051373973248,5.9
1800 Contacts - Lens Store,MEDICAL,4.7,23160,26M,"1,000,000+",Free,0.0,Everyone,Medical,"July 27, 2018",7.4.1,5.0 and up,0.3181447736291486,26.0
All Social Networks,SOCIAL,4.2,22492,1.5M,"1,000,000+",Free,0.0,Everyone,Social,"May 21, 2018",2.4.12,4.0 and up,-0.10641024212715389,1.5
"Hide Something - Photo, Video",SOCIAL,4.6,225103,5.3M,"5,000,000+",Free,0.0,Everyone,Social,"June 13, 2018",5.1.1,4.1 and up,0.2407102347883598,5.3
Amino: Communities and Chats,SOCIAL,4.8,1259075,62M,"10,000,000+",Free,0.0,Teen,Social,"July 20, 2018",1.8.19179,4.0.3 and up,0.04758960435151364,62.0
HTC Social Plugin - Facebook,SOCIAL,3.6,13223,2.8M,"10,000,000+",Free,0.0,Mature 17+,Social,"June 8, 2016",8.00.752746,4.4 and up,-0.05170496455042354,2.8
"Free phone calls, free texting SMS on free number",SOCIAL,4.5,412725,35M,"10,000,000+",Free,0.0,Everyone,Social,"July 31, 2018",3.8.1,4.1 and up,0.22960420173961837,35.0
Blogger,SOCIAL,3.7,138026,2.7M,"5,000,000+",Free,0.0,Mature 17+,Social,"February 29, 2016",2.1.3,2.1 and up,0.12512580694159642,2.7
Blogaway for Android (Blogger),SOCIAL,3.7,4253,4.1M,"100,000+",Free,0.0,Teen,Social,"May 31, 2018",7.0.7,4.0.3 and up,0.19725448933782266,4.1
Banjo,SOCIAL,4.2,58341,9.3M,"1,000,000+",Free,0.0,Everyone,Social,"July 25, 2015",4.6.2.0,2.3 and up,0.23085021228771227,9.3
Couple - Relationship App,SOCIAL,4.0,33249,8.4M,"1,000,000+",Free,0.0,Everyone,Social,"March 5, 2015",1.8.0,2.3 and up,0.30442296156254967,8.4
Couple - Relationship App,SOCIAL,4.0,33249,8.4M,"1,000,000+",Free,0.0,Everyone,Social,"March 5, 2015",1.8.0,2.3 and up,0.30442296156254967,8.4
Amazon for Tablets,SHOPPING,4.0,141613,22M,"10,000,000+",Free,0.0,Teen,Shopping,"July 31, 2018",16.14.0.850,4.4 and up,0.10113604797979796,22.0
Amazon Shopping,SHOPPING,4.3,909226,42M,"100,000,000+",Free,0.0,Teen,Shopping,"July 31, 2018",16.14.0.100,4.4 and up,0.1820225865037373,42.0
GS SHOP,SHOPPING,3.8,44255,15M,"10,000,000+",Free,0.0,Everyone,Shopping,"August 3, 2018",6.0.4,4.1 and up,0.2391812865497076,15.0
Family Dollar,SHOPPING,4.3,2588,21M,"1,000,000+",Free,0.0,Everyone,Shopping,"July 23, 2018",2.4.0,4.1 and up,0.24816588074623788,21.0
11st,SHOPPING,3.8,48732,20M,"10,000,000+",Free,0.0,Everyone,Shopping,"July 31, 2018",7.8.1,4.0 and up,0.18129421446608945,20.0
CheckPoints 🏆 Rewards App,SHOPPING,4.1,23187,25M,"1,000,000+",Free,0.0,Everyone,Shopping,"June 21, 2018",4.89,4.3 and up,0.27638016323953823,25.0
Gyft - Mobile Gift Card Wallet,SHOPPING,4.1,9701,14M,"500,000+",Free,0.0,Everyone,Shopping,"July 25, 2018",2.4.0,4.4 and up,-0.03364355250839038,14.0
"Ebates: Cash Back, Coupons, Rewards & Savings",SHOPPING,4.5,37253,31M,"1,000,000+",Free,0.0,Everyone,Shopping,"August 3, 2018",4.31.2,4.4 and up,0.22538709463051565,31.0
HauteLook,SHOPPING,4.1,7193,7.3M,"500,000+",Free,0.0,Everyone,Shopping,"July 13, 2018",5.0.2,4.4 and up,0.1720851370851371,7.3
Gyft - Mobile Gift Card Wallet,SHOPPING,4.1,9701,14M,"500,000+",Free,0.0,Everyone,Shopping,"July 25, 2018",2.4.0,4.4 and up,-0.03364355250839038,14.0
Amazon Shopping,SHOPPING,4.3,909204,42M,"100,000,000+",Free,0.0,Teen,Shopping,"July 31, 2018",16.14.0.100,4.4 and up,0.1820225865037373,42.0
Etsy: Handmade & Vintage Goods,SHOPPING,4.3,95520,15M,"10,000,000+",Free,0.0,Teen,Shopping,"August 3, 2018",5.3.1,4.1 and up,0.3054831433998101,15.0
ASOS,SHOPPING,4.7,181798,22M,"10,000,000+",Free,0.0,Everyone,Shopping,"July 30, 2018",4.4.9,4.4 and up,0.31691663660413655,22.0
Gyft - Mobile Gift Card Wallet,SHOPPING,4.1,9701,14M,"500,000+",Free,0.0,Everyone,Shopping,"July 25, 2018",2.4.0,4.4 and up,-0.03364355250839038,14.0
Etsy: Handmade & Vintage Goods,SHOPPING,4.3,95520,15M,"10,000,000+",Free,0.0,Teen,Shopping,"August 3, 2018",5.3.1,4.1 and up,0.3054831433998101,15.0
Find&Save - Local Shopping,SHOPPING,4.0,4602,6.2M,"500,000+",Free,0.0,Everyone,Shopping,"December 22, 2017",3.0.0,4.1 and up,0.09095987726263012,6.2
ASOS,SHOPPING,4.7,181823,22M,"10,000,000+",Free,0.0,Everyone,Shopping,"July 30, 2018",4.4.9,4.4 and up,0.31691663660413655,22.0
FreePrints – Free Photos Delivered,PHOTOGRAPHY,4.8,109500,37M,"1,000,000+",Free,0.0,Everyone,Photography,"August 2, 2018",2.18.2,4.1 and up,0.4461811075370103,37.0
Groovebook Photo Books & Gifts,PHOTOGRAPHY,4.0,21159,36M,"500,000+",Free,0.0,Everyone,Photography,"January 31, 2018",2.1.9,4.0.3 and up,0.1639216068452763,36.0
HD Camera - Best Cam with filters & panorama,PHOTOGRAPHY,4.5,38953,9.7M,"5,000,000+",Free,0.0,Everyone,Photography,"July 26, 2018",2.2.4,4.2 and up,0.22337962962962962,9.7
"Face Filter, Selfie Editor - Sweet Camera",PHOTOGRAPHY,4.7,142634,22M,"10,000,000+",Free,0.0,Everyone,Photography,"July 6, 2018",1.5.1,4.4 and up,0.19428104575163396,22.0
HD Camera - Quick Snap Photo & Video,PHOTOGRAPHY,4.5,21841,7.7M,"1,000,000+",Free,0.0,Everyone,Photography,"July 24, 2018",1.6.4,4.2 and up,0.45568627450980387,7.7
HD Camera,PHOTOGRAPHY,4.3,49680,8.7M,"5,000,000+",Free,0.0,Everyone,Photography,"July 11, 2018",1.8.5,4.2 and up,0.0,8.7
Garden Photo Frames - Garden Photo Editor,PHOTOGRAPHY,4.4,1864,13M,"500,000+",Free,0.0,Everyone,Photography,"May 3, 2018",22.0,4.0.3 and up,0.33358333333333334,13.0
BeautyPlus - Easy Photo Editor & Selfie Camera,PHOTOGRAPHY,4.4,3158047,53M,"100,000,000+",Free,0.0,Everyone,Photography,"July 31, 2018",6.9.031,4.1 and up,0.3,53.0
DSLR Camera Hd Ultra Professional,PHOTOGRAPHY,4.2,4410,4.5M,"1,000,000+",Free,0.0,Everyone,Photography,"June 27, 2018",4.1,4.0.3 and up,0.0769517543859649,4.5
"Candy selfie - photo editor, live filter camera",PHOTOGRAPHY,4.4,53421,26M,"10,000,000+",Free,0.0,Everyone,Photography,"August 6, 2018",2.74.685,4.0.3 and up,0.37279761904761904,26.0
Blur Image Background Editor (Blur Photo Editor),PHOTOGRAPHY,4.4,62421,9.6M,"5,000,000+",Free,0.0,Everyone,Photography,"July 28, 2018",2.4,4.1 and up,0.23310994560994563,9.6
Flickr,PHOTOGRAPHY,4.3,251951,16M,"10,000,000+",Free,0.0,Mature 17+,Photography,"July 11, 2018",4.7.3,4.4 and up,0.17743249083092832,16.0
BeautyPlus - Easy Photo Editor & Selfie Camera,PHOTOGRAPHY,4.4,3157936,53M,"100,000,000+",Free,0.0,Everyone,Photography,"July 31, 2018",6.9.031,4.1 and up,0.3,53.0
Blur Image Background,PHOTOGRAPHY,3.9,129272,11M,"10,000,000+",Free,0.0,Everyone,Photography,"July 30, 2018",1.32,4.1 and up,0.372717803030303,11.0
Flickr,PHOTOGRAPHY,4.3,251951,16M,"10,000,000+",Free,0.0,Mature 17+,Photography,"July 11, 2018",4.7.3,4.4 and up,0.17743249083092832,16.0
HD Camera Ultra,PHOTOGRAPHY,4.3,462152,1.5M,"10,000,000+",Free,0.0,Everyone,Photography,"October 17, 2015",2.3.1,Varies with device,0.15469866870710122,1.5
Cameringo Lite. Filters Camera,PHOTOGRAPHY,4.2,140917,5.7M,"10,000,000+",Free,0.0,Everyone,Photography,"June 11, 2018",2.2.93,4.0 and up,0.7702690972222223,5.7
HD Camera Pro for Android,PHOTOGRAPHY,4.1,49211,1.9M,"1,000,000+",Free,0.0,Everyone,Photography,"January 19, 2017",1.5.5,2.1 and up,0.07683823529411767,1.9
HD Camera for Android,PHOTOGRAPHY,4.1,351254,4.0M,"10,000,000+",Free,0.0,Everyone,Photography,"June 29, 2018",4.6.0.0,4.2 and up,0.37619140624999997,4.0
GoPro (formerly Capture),PHOTOGRAPHY,4.0,157506,47M,"10,000,000+",Free,0.0,Everyone,Photography,"May 24, 2018",4.5.2,5.0 and up,-0.007790556830735392,47.0
"High-Speed Camera (GIF,Burst)",PHOTOGRAPHY,4.1,78140,10M,"5,000,000+",Free,0.0,Everyone,Photography,"February 11, 2018",5.5.2,4.0.3 and up,0.34845679012345676,10.0
EyeEm - Camera & Photo Filter,PHOTOGRAPHY,4.2,215343,44M,"10,000,000+",Free,0.0,Everyone,Photography,"July 14, 2018",6.4.3,4.0.3 and up,0.3380653936903937,44.0
HD Camera for Android,PHOTOGRAPHY,4.1,351255,4.0M,"10,000,000+",Free,0.0,Everyone,Photography,"June 29, 2018",4.6.0.0,4.2 and up,0.37619140624999997,4.0
FilterGrid - Cam&Photo Editor,PHOTOGRAPHY,4.6,126337,9.6M,"1,000,000+",Free,0.0,Everyone,Photography,"March 15, 2017",2.0.5,4.0 and up,0.09263994537208824,9.6
BeautyPlus - Easy Photo Editor & Selfie Camera,PHOTOGRAPHY,4.4,3158151,53M,"100,000,000+",Free,0.0,Everyone,Photography,"July 31, 2018",6.9.031,4.1 and up,0.3,53.0
Color Touch Effects,PHOTOGRAPHY,3.8,167652,12M,"10,000,000+",Free,0.0,Everyone,Photography,"April 23, 2018",4.5,4.1 and up,0.11572042084377611,12.0
Font Studio- Photo Texts Image,PHOTOGRAPHY,4.2,197295,24M,"10,000,000+",Free,0.0,Everyone,Photography,"June 23, 2017",4.0.7,4.0 and up,0.08145920868347338,24.0
Add Text To Photo,PHOTOGRAPHY,4.1,21578,1.6M,"1,000,000+",Free,0.0,Everyone,Photography,"September 8, 2017",1.1.3,2.3 and up,0.22970324746060042,1.6
BeautyPlus - Easy Photo Editor & Selfie Camera,PHOTOGRAPHY,4.4,3158151,53M,"100,000,000+",Free,0.0,Everyone,Photography,"July 31, 2018",6.9.031,4.1 and up,0.3,53.0
Free Sports TV,SPORTS,4.3,1802,9.8M,"100,000+",Free,0.0,Everyone,Sports,"June 21, 2018",1.4,4.0.3 and up,0.16731858265191596,9.8
"FIFA - Tournaments, Soccer News & Live Scores",SPORTS,4.2,342909,6.0M,"10,000,000+",Free,0.0,Everyone,Sports,"August 3, 2018",4.3.1,4.4 and up,0.06825822325822326,6.0
Football Live Scores,SPORTS,4.5,107724,6.5M,"5,000,000+",Free,0.0,Everyone,Sports,"July 31, 2018",1004.0,4.0 and up,0.4050258891435362,6.5
All Football - Latest News & Videos,SPORTS,4.6,152867,17M,"10,000,000+",Free,0.0,Everyone,Sports,"August 3, 2018",3.0.5,4.1 and up,0.43206329477813854,17.0
"All Football GO- Live Score, Games",SPORTS,4.6,1981,10M,"100,000+",Free,0.0,Everyone,Sports,"June 21, 2018",2.9.9go,4.1 and up,0.5265151515151515,10.0
Goal Live Scores,SPORTS,4.4,232423,35M,"5,000,000+",Free,0.0,Everyone,Sports,"June 11, 2018",4.2.2,4.0.3 and up,0.17692905844155843,35.0
CBS Sports Fantasy,SPORTS,4.0,43611,27M,"1,000,000+",Free,0.0,Everyone,Sports,"June 27, 2018",3.17.0+3,5.0 and up,0.24850236370438392,27.0
Golf Channel,SPORTS,4.1,19230,88M,"1,000,000+",Free,0.0,Everyone,Sports,"May 30, 2018",4.5.19.56,4.1 and up,-0.025728535353535364,88.0
Golfshot: Golf GPS + Tee Times,SPORTS,4.3,7543,25M,"500,000+",Free,0.0,Everyone,Sports,"July 11, 2018",1.31.0,4.1 and up,0.34424886363636364,25.0
GolfLogix GPS + Putt Breaks,SPORTS,4.0,11085,61M,"1,000,000+",Free,0.0,Everyone,Sports,"June 21, 2018",8.9.3,4.0.3 and up,-0.07843205020288353,61.0
FanDuel: Daily Fantasy Sports,SPORTS,4.6,29673,57M,"1,000,000+",Free,0.0,Mature 17+,Sports,"August 6, 2018",2.46.1,5.0 and up,0.28708349731077004,57.0
DraftKings - Daily Fantasy Sports,SPORTS,4.5,50017,41M,"1,000,000+",Free,0.0,Adults only 18+,Sports,"July 24, 2018",3.21.324,4.4 and up,0.3123335537918871,41.0
Fantasy Football Manager (FPL),SPORTS,4.4,63650,4.6M,"1,000,000+",Free,0.0,Everyone,Sports,"August 3, 2018",7.0.2,4.1 and up,0.29987097869450813,4.6
Fantasy Football,SPORTS,3.5,50179,23M,"1,000,000+",Free,0.0,Everyone,Sports,"August 2, 2018",2.5.7.1,5.0 and up,0.0625806329338938,23.0
CBS Sports Fantasy,SPORTS,4.0,43611,27M,"1,000,000+",Free,0.0,Everyone,Sports,"June 27, 2018",3.17.0+3,5.0 and up,0.24850236370438392,27.0
"FOX Sports: Live Streaming, Scores & News",SPORTS,4.0,28895,82M,"5,000,000+",Free,0.0,Teen,Sports,"August 2, 2018",4.4.15,5.0 and up,0.3132563003775125,82.0
"FIFA - Tournaments, Soccer News & Live Scores",SPORTS,4.2,342912,6.0M,"10,000,000+",Free,0.0,Everyone,Sports,"August 3, 2018",4.3.1,4.4 and up,0.06825822325822326,6.0
365Scores - Live Scores,SPORTS,4.6,666521,25M,"10,000,000+",Free,0.0,Everyone,Sports,"July 29, 2018",5.5.9,4.1 and up,0.4383116883116883,25.0
Fantasy Football & NFL News,SPORTS,4.5,2943,8.1M,"100,000+",Free,0.0,Everyone,Sports,"May 15, 2018",6.1.3,2.3.3 and up,0.4212411580793934,8.1
Golfshot: Golf GPS + Tee Times,SPORTS,4.3,7543,25M,"500,000+",Free,0.0,Everyone,Sports,"July 11, 2018",1.31.0,4.1 and up,0.34424886363636364,25.0
"FOX Sports: Live Streaming, Scores & News",SPORTS,4.0,28895,82M,"5,000,000+",Free,0.0,Teen,Sports,"August 2, 2018",4.4.15,5.0 and up,0.3132563003775125,82.0
Fantasy Football,SPORTS,3.5,50179,23M,"1,000,000+",Free,0.0,Everyone,Sports,"August 2, 2018",2.5.7.1,5.0 and up,0.0625806329338938,23.0
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,4.1,136626,14M,"10,000,000+",Free,0.0,Everyone,Travel & Local,"August 6, 2018",18.30.0,5.0 and up,0.09299215649801587,14.0
CityMaps2Go Plan Trips Travel Guide Offline Maps,TRAVEL_AND_LOCAL,4.3,64713,58M,"1,000,000+",Free,0.0,Everyone,Travel & Local,"June 9, 2018",10.9.8 (Play),5.0 and up,0.31709577922077925,58.0
Hostelworld: Hostels & Cheap Hotels Travel App,TRAVEL_AND_LOCAL,4.4,17878,28M,"1,000,000+",Free,0.0,Everyone,Travel & Local,"July 16, 2018",6.7.1,4.1 and up,0.2534184783470498,28.0
GPS Map Free,TRAVEL_AND_LOCAL,4.0,33782,7.6M,"5,000,000+",Free,0.0,Everyone,Travel & Local,"July 11, 2018",4.6,4.0 and up,0.7,7.6
GasBuddy: Find Cheap Gas,TRAVEL_AND_LOCAL,4.6,751551,42M,"10,000,000+",Free,0.0,Mature 17+,Travel & Local,"August 2, 2018",5.2.0 21127,4.4 and up,0.2726742875180375,42.0
"AT&T Navigator: Maps, Traffic",TRAVEL_AND_LOCAL,3.6,32862,14M,"10,000,000+",Free,0.0,Everyone,Travel & Local,"December 6, 2016",5.10.6.2.8466393,4.1 and up,0.07130096542927515,14.0
AirAsia,TRAVEL_AND_LOCAL,3.9,98585,37M,"10,000,000+",Free,0.0,Everyone,Travel & Local,"July 16, 2018",5.0.4,4.4 and up,-0.1036063011063011,37.0
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,4.1,136633,14M,"10,000,000+",Free,0.0,Everyone,Travel & Local,"August 6, 2018",18.30.0,5.0 and up,0.09299215649801587,14.0
Allegiant,TRAVEL_AND_LOCAL,3.1,5572,21M,"1,000,000+",Free,0.0,Everyone,Travel & Local,"July 12, 2018",5.16.1,4.4 and up,0.2333333333333333,21.0
Amtrak,TRAVEL_AND_LOCAL,3.7,16815,28M,"1,000,000+",Free,0.0,Everyone,Travel & Local,"July 15, 2018",3.1.3,5.0 and up,-0.028284245516388376,28.0
Fly Delta,TRAVEL_AND_LOCAL,3.7,27560,46M,"5,000,000+",Free,0.0,Everyone,Travel & Local,"July 31, 2018",4.13.2,5.0 and up,0.14325237137108363,46.0
Find Dining Restaurant Finder,TRAVEL_AND_LOCAL,4.1,427,26M,"100,000+",Free,0.0,Everyone,Travel & Local,"March 21, 2016",1.2.1,4.1 and up,0.3394679300291545,26.0
Hipmunk Hotels & Flights,TRAVEL_AND_LOCAL,4.3,16734,10.0M,"1,000,000+",Free,0.0,Everyone,Travel & Local,"July 31, 2018",8.8.2,5.0 and up,0.5463015873015873,10.0
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,4.1,136626,14M,"10,000,000+",Free,0.0,Everyone,Travel & Local,"August 6, 2018",18.30.0,5.0 and up,0.09299215649801587,14.0
CWT To Go,TRAVEL_AND_LOCAL,4.4,20313,57M,"100,000+",Free,0.0,Everyone,Travel & Local,"August 5, 2018",17.7.8,4.4 and up,0.28675125313283206,57.0
British Airways,TRAVEL_AND_LOCAL,4.2,25740,51M,"1,000,000+",Free,0.0,Everyone,Travel & Local,"July 24, 2018",4.20,4.4 and up,0.20510616367759224,51.0
Cheap Flights & Hotels momondo,TRAVEL_AND_LOCAL,4.2,42546,24M,"5,000,000+",Free,0.0,Everyone,Travel & Local,"April 25, 2018",7.6.5,4.4 and up,0.18377557627557628,24.0
Flights,TRAVEL_AND_LOCAL,4.4,18039,3.1M,"1,000,000+",Free,0.0,Everyone,Travel & Local,"July 26, 2018",3.6.6,4.1 and up,0.140565164002664,3.1
Fly Delta,TRAVEL_AND_LOCAL,3.7,27560,46M,"5,000,000+",Free,0.0,Everyone,Travel & Local,"July 31, 2018",4.13.2,5.0 and up,0.14325237137108363,46.0
Cheapflights – Flight Search,TRAVEL_AND_LOCAL,4.4,47780,19M,"5,000,000+",Free,0.0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device,0.42191239316239315,19.0
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,4.1,136626,14M,"10,000,000+",Free,0.0,Everyone,Travel & Local,"August 6, 2018",18.30.0,5.0 and up,0.09299215649801587,14.0
Hostelworld: Hostels & Cheap Hotels Travel App,TRAVEL_AND_LOCAL,4.4,17878,28M,"1,000,000+",Free,0.0,Everyone,Travel & Local,"July 16, 2018",6.7.1,4.1 and up,0.2534184783470498,28.0
Hotels Combined - Cheap deals,TRAVEL_AND_LOCAL,4.1,17202,12M,"5,000,000+",Free,0.0,Everyone,Travel & Local,"November 13, 2017",4.9.2,4.1 and up,0.16078538359788358,12.0
Ascape VR: 360° Virtual Travel,TRAVEL_AND_LOCAL,4.1,890,7.6M,"100,000+",Free,0.0,Everyone,Travel & Local;Action & Adventure,"August 9, 2017",4.0.38,4.4 and up,0.1509645061728395,7.6
GPS Status & Toolbox,TRAVEL_AND_LOCAL,4.5,149723,4.1M,"10,000,000+",Free,0.0,Everyone,Travel & Local,"June 13, 2018",8.1.171,4.0 and up,0.3980736961451247,4.1
Airport + Flight Tracker Radar,TRAVEL_AND_LOCAL,4.2,6762,8.5M,"1,000,000+",Free,0.0,Everyone,Travel & Local,"July 14, 2015",8.0,4.0 and up,0.08928481240981238,8.5
DreamTrips,TRAVEL_AND_LOCAL,4.7,9971,22M,"500,000+",Free,0.0,Teen,Travel & Local,"August 6, 2018",1.28.1,5.0 and up,0.3712767777565572,22.0
Cache Cleaner-DU Speed Booster (booster & cleaner),TOOLS,4.5,12759663,15M,"100,000,000+",Free,0.0,Everyone,Tools,"July 25, 2018",3.1.2,4.0 and up,0.27852109695859695,15.0
"Calculator - free calculator, multi calculator app",TOOLS,4.6,25592,7.5M,"10,000,000+",Free,0.0,Everyone,Tools,"July 31, 2018",v8.0.1.8.0629.1,4.2 and up,-0.0375,7.5
Files Go by Google: Free up space on your phone,TOOLS,4.6,315585,8.5M,"10,000,000+",Free,0.0,Everyone,Tools,"July 18, 2018",1.0.204375696,5.0 and up,0.13068233101321336,8.5
File Manager -- Take Command of Your Files Easily,TOOLS,4.2,127223,7.6M,"10,000,000+",Free,0.0,Everyone,Tools,"August 3, 2018",v7.0.7.1.0625.1_06_0629,5.0 and up,0.21464646464646464,7.6
AT&T Smart Wi-Fi,TOOLS,3.9,18513,6.1M,"10,000,000+",Free,0.0,Everyone,Tools,"April 26, 2018",3.2,4.1 and up,0.1895487012987013,6.1
DuraSpeed,TOOLS,3.8,5431,1.3M,"10,000,000+",Free,0.0,Everyone,Tools,"November 13, 2017",1.5.0,6.0 and up,-0.03404401154401155,1.3
HTC Sense Input-AR,TOOLS,3.8,1420,2.7M,"100,000+",Free,0.0,Everyone,Tools,"April 22, 2014",9.7.753080,4.1 and up,0.2875963541666667,2.7
Digital Alarm Clock,TOOLS,4.2,118439,16M,"10,000,000+",Free,0.0,Everyone,Tools,"June 19, 2018",10.4,4.4 and up,0.34107329093987326,16.0
Alarm Clock Free,TOOLS,4.0,59973,11M,"10,000,000+",Free,0.0,Everyone,Tools,"March 16, 2018",1.2.5,4.0 and up,0.15576177498971616,11.0
"CM Flashlight (Compass, SOS)",TOOLS,4.4,166367,1.8M,"5,000,000+",Free,0.0,Everyone,Tools,"May 25, 2018",1.4.0,2.3 and up,0.55625,1.8
Flashlight - Torch LED Light,TOOLS,4.4,192661,8.5M,"10,000,000+",Free,0.0,Everyone,Tools,"July 7, 2018",2.4.1,4.1 and up,0.4045251322751323,8.5
Brightest Flashlight Free ®,TOOLS,4.7,1335799,3.8M,"50,000,000+",Free,0.0,Everyone,Tools,"October 27, 2017",2.5.2,4.2 and up,0.4925714285714286,3.8
Fraction Calculator Plus Free,TOOLS,4.5,148506,11M,"5,000,000+",Free,0.0,Everyone,Tools,"July 15, 2018",Varies with device,Varies with device,0.37264092538286087,11.0
CALCU™ Stylish Calculator Free,TOOLS,4.7,152692,11M,"5,000,000+",Free,0.0,Everyone,Tools,"July 7, 2018",3.5.6,4.1 and up,0.3525981620718463,11.0
